text,label
"The government announced a new education policy for 2026.",REAL
"Scientists discovered a new species of butterfly in the Amazon rainforest.",REAL
"NASA successfully launched a satellite into orbit yesterday.",REAL
"The city inaugurated a new metro rail extension for public transport.",REAL
"Aliens have secretly taken control of the White House.",FAKE
"Drinking ten liters of water every hour makes you immortal.",FAKE
"Dinosaurs have been found living on a hidden island.",FAKE
"The moon is made entirely of cheese according to new research.",FAKE
"Researchers developed an AI system to detect early signs of cancer.",REAL
"Time travelers from the future predicted tomorrow's lottery numbers.",FAKE
